Profil,Diplôme,Métier,Années d'expérience,Objectifs,Notation,Évaluation,Description de la personnalité,Université d'études,Parcours Professionnel,Historiques d'interaction,Tarif horaire en euros,Langue parlée,Localisation,Disponibilité
Mentor,BTS en Marketing,Analyste de marché,25,Devenir responsable marketing stratégique,3.0,Moyen,Sociable et communicatif,Université de Marseille,"McDonald's, Nike, Coca-Cola, Amazon Advertising",17,35.0,Français,Paris,1
Mentor,Internat en Médecine,Pédiatre,8,Pratiquer la médecine pédiatrique,2.0,Passable,Sympathique et patient,Université de Paris,Cleveland Clinic,8,25.0,Français,Toulouse,1
Mentor,Doctorat en Informatique,Développeur logiciel,5,Travailler en cybersécurité,5.0,Très bien,Créatif et innovant,Université de Marseille,IBM,5,25.0,Anglais,Strasbourg,3
Mentor,Licence en Arts Plastiques,Artiste,10,Devenir artiste renommé,3.0,Moyen,Dynamique et enthousiaste,Université de Lyon,Sotheby's,18,35.0,Anglais,Lyon,1
Mentor,Master en Pédagogie,Psychopédagogue,7,Devenir un enseignant émérite,1.0,Médiocre,Dynamique et enthousiaste,Université de Lyon,Massachusetts Institute of Technology,18,35.0,Anglais,Rennes,3
Mentor,Doctorat en Psychologie,Conseiller en orientation,14,Faire de la recherche en psychologie,2.0,Passable,Dynamique et enthousiaste,Université de Paris,"Mayo Clinic, Massachusetts General Hospital, Stanford Health Care, Cleveland Clinic, Johns Hopkins Hospital",19,35.0,Français,Toulouse,2
Mentor,Master en Ressources Humaines,Recruteur,22,Devenir expert en gestion des talents,3.0,Moyen,Analytique et organisé,Université de Paris,"Adecco, Randstad, Kelly Services, ADP",13,35.0,Anglais,Rennes,3
Mentor,Licence en Sciences de l'Éducation,Didacticien,13,Devenir un enseignant émérite,5.0,Très bien,Dynamique et enthousiaste,Université de Bordeaux,"Harvard University, Massachusetts Institute of Technology",0,15.0,Anglais,Marseille,1
Mentor,Certificat en Ingénierie,Ingénieur mécanique,20,Devenir ingénieur de renom,4.0,Bien,Analytique et organisé,Université de Toulouse,"Siemens, Lockheed Martin, General Electric, Boeing, Airbus",7,25.0,Anglais,Rennes,3
Mentor,Master en Gestion,Directeur général,16,Devenir directeur général d'une grande entreprise,4.0,Bien,Sympathique et patient,Université de Marseille,"PwC, Deloitte, Bain & Company, Boston Consulting Group, McKinsey & Company",14,35.0,Anglais,Marseille,3
Mentor,Certificat en Didactique,Didacticien,8,Devenir un enseignant émérite,1.0,Médiocre,Dynamique et enthousiaste,Université de Bordeaux,Harvard University,2,15.0,Anglais,Lille,1
Mentor,BTS en Ingénierie,Ingénieur logiciel,26,Devenir ingénieur de renom,4.0,Bien,Sociable et communicatif,Université de Toulouse,"Airbus, Siemens",3,15.0,Français,Lille,1
Mentor,Master en Psychologie,Conseiller en orientation,11,Faire de la recherche en psychologie,4.0,Bien,Sympathique et patient,Université de Bordeaux,"Johns Hopkins Hospital, Cleveland Clinic, Massachusetts General Hospital",7,25.0,Français,Toulouse,2
Mentor,BTS en Ressources Humaines,Formateur,5,Devenir expert en gestion des talents,4.0,Bien,Sympathique et patient,Université de Paris,"ADP, ManpowerGroup",6,25.0,Français,Nantes,2
Mentor,BTS en Psychologie,Conseiller en orientation,6,Faire de la recherche en psychologie,5.0,Très bien,Créatif et innovant,Université de Toulouse,"Johns Hopkins Hospital, Cleveland Clinic, Mayo Clinic, Stanford Health Care",12,35.0,Anglais,Montpellier,3
Mentor,Licence en Informatique,Développeur logiciel,14,Devenir expert en IA,5.0,Très bien,Analytique et organisé,Université de Toulouse,"IBM, Google, Microsoft, Amazon, Apple",11,35.0,Anglais,Rennes,3
Mentor,Licence en Gestion,Directeur général,25,Devenir directeur général d'une grande entreprise,5.0,Très bien,Sociable et communicatif,Université de Bordeaux,Boston Consulting Group,7,25.0,Français,Toulouse,2
